Actuals,Predicteds
1.0,1.33021899646
2.0,1.29824245846
1.0,1.29850401684
1.0,1.30952711016
2.0,1.2014868142
1.0,1.22837015958
1.0,1.22218614508
2.0,1.29940429307
1.0,1.264397105
2.0,1.42516996248
1.0,1.10110218733
1.0,1.26153797109
1.0,1.3947206431
1.0,1.29452623244
1.0,1.26175020103
1.0,1.33925145993
1.0,1.24777450626
1.0,1.23272125064
2.0,1.34529935563
1.0,1.39551347818
2.0,1.36965250867
1.0,1.26400317066
1.0,1.31685484299
2.0,1.45173648187
1.0,1.18206114164
1.0,1.17708008371
1.0,1.20868444516
1.0,1.41299603586
1.0,1.11563984194
1.0,1.27118696205
1.0,1.22385260279
1.0,1.45378376107
1.0,1.27339782004
1.0,1.24000854123
1.0,1.208982591
1.0,1.29845811328
1.0,1.23233863581
1.0,1.24769673667
1.0,1.27394067963
1.0,1.38337944885
1.0,1.05193275626
2.0,1.30563133919
1.0,1.19650444852
1.0,1.20284458416
1.0,1.20294689001
1.0,1.14495194143
1.0,1.37204098885
1.0,1.32825445573
1.0,1.29796057682
1.0,1.25510004526
1.0,1.26450690676
1.0,1.35760272478
1.0,1.38736720487
1.0,1.36409129448
1.0,1.25593165782
1.0,1.23364233527
2.0,1.41446203977
1.0,1.25592577397
2.0,1.16497416301
1.0,1.15274946936
1.0,1.27492136404
1.0,1.36368161687
1.0,1.28295778992
1.0,1.3404815781
1.0,1.21382745306
1.0,1.28680308896
1.0,1.4419369517
1.0,1.17713593535
1.0,1.4393435272
3.0,1.28273983032
1.0,1.268980762
1.0,1.21330575809
1.0,1.13158038206
1.0,1.15059036669
1.0,1.29417162698
1.0,1.20484914439
1.0,1.35579527563
2.0,1.28167024254
1.0,1.20336534305
4.0,1.40202609911
4.0,1.40202609911
1.0,1.43060117064
1.0,1.32731994162
1.0,1.37871580215
2.0,1.39849258709
1.0,1.16454913557
1.0,1.41714597141
1.0,1.26153665009
1.0,1.2761290081
1.0,1.29224341786
1.0,1.32330064421
1.0,1.32593438759
1.0,1.21038372137
1.0,1.34577155097
1.0,1.24305164484
1.0,1.27874953493
10.0,1.2809415806
1.0,1.40838923426
1.0,1.31879416699
1.0,1.23575625456
1.0,1.30388791849
1.0,1.19073344085
1.0,1.25379354714
1.0,1.14961118715
1.0,1.24194618904
1.0,1.10860574177
1.0,1.29397820272
1.0,1.39638133902
1.0,1.09729740195
1.0,1.38344315798
1.0,1.36359273016
1.0,1.31077939306
1.0,1.18120853562
1.0,1.27688573201
1.0,1.25829533793
1.0,1.33792914217
1.0,1.23549592264
1.0,1.20231913564
1.0,1.24628239344
1.0,1.40852362746
3.0,1.4525159495
1.0,1.43145246742
1.0,1.2211333495
1.0,1.19661616166
1.0,1.24218593127
1.0,1.25829712323
2.0,1.41206799876
2.0,1.25543078488
1.0,1.39193461325
1.0,1.16424560817
1.0,1.41620973201
2.0,1.37418021732
1.0,1.31772546845
1.0,1.2582102851
5.0,1.25380199419
1.0,1.40840998507
1.0,1.22426191448
1.0,1.17372489394
2.0,1.40341080156
1.0,1.25799235953
1.0,1.22663025534
1.0,1.22250430267
1.0,1.30344157181
2.0,1.36803488022
1.0,1.39573065617
3.0,1.19746246291
1.0,1.32606586012
1.0,1.15169640249
1.0,1.29902481905
3.0,1.27398370342
1.0,1.42833375319
1.0,1.15716316677
1.0,1.18453809048
1.0,1.39080003286
1.0,1.39265061831
1.0,1.25007171002
1.0,1.22701652177
1.0,1.24525996348
1.0,1.03010534979
1.0,1.05722690289
1.0,1.39490277201
1.0,1.02050869951
1.0,1.22747062525
2.0,1.30451603737
1.0,1.42673467143
1.0,1.05841257861
1.0,1.32253892767
1.0,1.27164288578
1.0,1.3827756435
1.0,1.28005169702
1.0,1.31217200192
1.0,1.34751659455
1.0,1.30618160367
1.0,1.27666673084
2.0,1.41600766557
1.0,1.30796677368
1.0,1.3579329098
2.0,1.40860577318
1.0,1.25613412406
1.0,1.21722070493
1.0,1.25806854194
1.0,1.14902737289
1.0,1.36063656852
1.0,1.38867210874
2.0,1.44659600229
1.0,1.41102469413
2.0,1.39849323415
1.0,1.21355865923
1.0,1.21700706264
1.0,1.24360852387
1.0,1.3249041476
1.0,1.38907019821
1.0,1.28182001091
1.0,1.26469909675
2.0,1.2819568038
2.0,1.38653521789
2.0,1.10971118887
2.0,1.38814863185
1.0,1.17119382509
1.0,1.29770275102
1.0,1.28233041193
1.0,1.41643621977
1.0,1.34361144114
1.0,1.25931923921
2.0,1.39123992061
1.0,1.29242307372
1.0,1.46547716376
2.0,1.17423136029
1.0,1.27751680474
2.0,1.36681522121
2.0,1.22014989426
1.0,1.1743933585
1.0,1.35767190145
1.0,1.13879976738
